Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
1,15:00:03:529,1.84E-05,7.32E-05,3.72E-05,2.88E-05,2.30E-05,5.56E-06,-0.000341084,,0.241594318,-14.80782762,
2,15:00:04:056,2.90E-05,5.75E-05,8.39E-05,1.50E-05,-0.000114472,-4.73E-05,-0.000354842,0.665344484,0.413015174,3.099810634,
3,15:00:04:582,4.79E-05,3.79E-05,7.63E-05,-6.90E-05,4.84E-05,-9.61E-05,-0.000383543,,-1.987343588,-7.927946217,
4,15:00:05:110,-5.41E-05,7.94E-06,6.70E-05,-5.94E-06,-0.000119869,-7.72E-05,-0.000286288,1.193356979,0.644092836,2.388351352,
5,15:00:05:637,5.62E-05,-6.83E-06,2.58E-05,-1.12E-05,1.01E-05,-1.31E-05,-0.000450903,,-1.297587332,,
6,15:00:06:164,-3.63E-05,-2.18E-05,0.000107551,5.95E-05,-3.12E-05,1.89E-05,-0.000448769,,-0.606076514,14.39612271,
7,15:00:06:690,5.48E-05,3.75E-05,6.04E-05,-8.30E-05,-3.66E-05,-2.20E-05,-0.000389947,-0.001917784,0.602307918,10.66304,
8,15:00:07:217,2.88E-05,-1.16E-05,7.81E-06,5.64E-05,7.08E-06,-2.53E-05,-0.000349623,,-3.575085887,,
9,15:00:07:743,2.33E-05,-5.64E-06,4.22E-05,3.19E-05,1.68E-06,-2.32E-05,-0.000427185,,,,
10,15:00:08:271,4.58E-05,2.27E-05,0.000104471,-4.45E-05,1.27E-05,-2.85E-06,-0.000400857,,-0.224481387,-31.54202865,
11,15:00:08:796,1.81E-05,1.17E-05,-5.43E-05,-9.32E-05,-0.000136997,6.52E-05,-0.00051399,-0.866463476,-0.475870224,3.751841207,
12,15:00:09:324,-4.82E-05,2.15E-05,-1.80E-05,3.26E-05,-0.000131131,-5.99E-05,-0.000462525,0.742854203,0.456830173,3.527194968,
13,15:00:09:851,5.41E-05,-4.33E-05,1.42E-05,1.52E-05,-0.000104852,-0.0001069,-0.000432166,,1.019529789,4.121677998,
14,15:00:10:377,-7.92E-06,2.77E-05,6.21E-05,-2.04E-05,4.39E-05,-5.22E-05,-0.000496203,,-1.188276495,-11.29794877,
15,15:00:10:904,2.81E-05,-1.42E-05,-3.84E-05,-4.33E-05,-0.000188849,-8.77E-05,-0.000530592,0.761556224,0.464540204,2.809611044,
16,15:00:11:430,2.50E-05,4.94E-05,9.88E-05,-3.12E-05,-4.55E-05,-3.28E-05,-0.000535572,0.315302642,0.72069472,11.77423701,
17,15:00:11:957,-6.99E-05,-7.66E-05,-3.03E-05,-0.000132241,-0.00011893,-5.92E-05,-0.000607902,,0.497798047,5.111423062,
18,15:00:12:483,7.09E-05,1.94E-05,-1.85E-05,-3.26E-05,-8.44E-05,-1.17E-05,-0.000548378,0.043679668,0.139015098,6.49443081,
19,15:00:13:010,-3.51E-05,-2.44E-05,3.29E-05,-1.71E-05,-5.25E-05,-0.00011064,-0.000578496,,2.10638287,11.01346269,
20,15:00:13:538,4.84E-05,7.10E-05,9.95E-05,-3.80E-06,-0.000149901,-6.36E-05,-0.000437858,0.678014556,0.424583095,2.920975367,
21,15:00:14:065,-2.24E-06,-1.99E-05,1.09E-05,-1.85E-05,9.09E-05,-3.16E-05,-0.000418647,,-0.347947697,-4.607826251,
22,15:00:14:591,1.84E-05,-5.44E-05,-2.54E-05,6.88E-05,-0.000136528,-7.86E-05,-0.000508061,,0.575776721,3.721309028,
23,15:00:15:117,4.75E-05,-3.47E-05,6.63E-05,-5.80E-05,-6.82E-05,-3.30E-05,-0.000607902,,0.48376519,8.907285678,
24,15:00:15:644,-1.50E-05,4.15E-05,7.23E-05,-7.30E-05,-3.23E-05,8.37E-06,-0.000609562,-0.433210107,-0.258788897,18.84496609,
25,15:00:16:171,-6.00E-05,-5.71E-05,-8.67E-05,-2.71E-05,-5.63E-05,-4.49E-06,-0.000573042,,0.079772266,10.18185722,
26,15:00:16:697,3.44E-05,1.51E-05,7.60E-05,3.93E-05,-7.18E-05,-3.47E-05,-0.000575176,0.600965747,0.48284585,8.014446667,
27,15:00:17:225,-1.08E-05,-3.42E-05,0.000106603,1.48E-05,-3.40E-05,-6.43E-05,-0.000544821,,1.893186938,16.02945503,
28,15:00:17:752,7.71E-05,-8.73E-06,5.80E-05,-5.46E-06,-8.02E-05,-0.00012911,-0.000648452,1.831925654,1.609562487,8.083962885,
29,15:00:18:278,-5.90E-05,1.44E-05,-2.89E-05,-3.38E-05,-0.000111891,2.06E-06,-0.000623553,-0.104722618,-0.018388293,5.572860684,
