Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9),Column1
1,18:30:10:532,1.60E-06,4.67E-05,5.44E-05,-1.56E-05,-0.000105807,5.42E-06,-0.000101532,-0.169052568,-0.051223228,0.959593632,
2,18:30:11:059,5.56E-05,-0.000100925,-9.09E-06,4.25E-05,6.59E-05,-4.58E-05,-7.76E-05,,-0.694662888,-1.177648817,
3,18:30:11:585,8.46E-06,-2.45E-05,4.63E-05,3.70E-05,-3.31E-05,0.000105708,-3.02E-05,,-3.193912208,0.912484301,
4,18:30:12:112,-3.41E-05,-5.21E-05,-7.90E-06,-3.90E-06,2.77E-05,1.13E-05,-7.66E-05,,0.407288829,-2.771565675,
5,18:30:12:638,-6.21E-06,1.60E-05,6.17E-05,6.22E-05,5.72E-05,-4.53E-05,-2.78E-05,,-0.791876731,-0.486441952,
6,18:30:13:166,3.45E-05,1.88E-05,4.56E-05,3.27E-05,3.19E-05,-0.000119167,-9.13E-05,,-3.738224214,-2.865366738,
7,18:30:13:693,-3.56E-05,-6.88E-05,7.59E-05,-1.29E-05,-6.19E-05,8.22E-06,-3.26E-05,,-0.132773383,0.525775292,
8,18:30:14:220,1.41E-05,7.84E-05,2.75E-06,-1.82E-05,5.51E-05,6.08E-05,-5.08E-05,,1.103839917,-0.922275118,
9,18:30:14:746,-7.67E-05,-5.21E-06,1.79E-05,-2.71E-06,-5.75E-05,8.69E-06,-8.30E-05,-0.375584589,-0.151197725,1.444546324,
10,18:30:15:273,6.60E-05,-6.64E-06,4.49E-05,-3.27E-05,0.00011187,-9.54E-06,-0.000150821,,-0.085284094,-1.348172623,
11,18:30:15:799,-2.11E-05,1.81E-05,0.000122616,9.18E-06,-7.02E-05,-0.000104909,-1.81E-05,8.624820404,1.495363099,0.258191209,
12,18:30:16:327,4.40E-05,-9.73E-06,-6.24E-05,3.83E-07,-9.95E-05,-5.93E-05,-3.64E-05,2.889182876,0.596432482,0.365541349,
13,18:30:16:854,-7.41E-05,-1.43E-05,9.15E-06,8.53E-05,1.08E-05,1.91E-06,-5.58E-05,,0.17771526,-5.182258285,
