Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
65,15:56:46:246,-5.33E-05,-1.96E-05,0.001578471,0.000134589,0.028855216,0.020973605,0.252128803,0.709290401,7.2685662304350762e-001,8.737720284
66,15:56:46:773,-8.88E-05,-4.01E-05,0.002809025,0.000262588,0.050888014,0.037022794,0.445711483,0.708836234,7.2753465009152829e-001,8.75867309
67,15:56:47:299,1.48444E-05,-9.01E-05,0.004578886,0.000414401,0.085825573,0.062319091,0.750508666,0.708010127,7.2611330550535602e-001,8.744580872
68,15:56:47:825,-6.18E-05,1.75074E-05,0.007029912,0.000560048,0.133295343,0.096989865,1.167875954,0.70970798,7.2763131027006489e-001,8.761566099
69,15:56:48:352,5.83717E-05,-8.82E-05,0.008676173,0.000555288,0.160608368,0.11702382,1.409612848,0.709970646,7.2862841126862565e-001,8.776708616
70,15:56:48:880,4.72531E-05,8.72438E-05,0.008560544,0.000629786,0.157695637,0.114868672,1.384690745,0.710014602,7.2842010081235664e-001,8.780780294
71,15:56:49:406,1.15326E-05,-6.48E-05,0.007617262,0.000470087,0.143168707,0.104070214,1.254861545,0.708894287,7.2690615076159548e-001,8.764914968
72,15:56:49:933,4.06293E-05,-7.17E-05,0.006973021,0.000348962,0.127812141,0.093158749,1.122169935,0.710360642,7.2887245482554464e-001,8.779838314
73,15:56:50:460,-9.11E-05,-5.22E-05,0.006375161,0.000261875,0.118355135,0.086358259,1.039611683,0.711232121,7.2965367726012220e-001,8.783832539
74,15:56:50:986,-9.52E-06,3.46547E-06,0.006499064,0.000386083,0.119819208,0.08720422,1.051185582,0.709727977,7.2779833369411795e-001,8.773097434
75,15:56:51:513,7.61144E-05,-2.84E-05,0.006805686,0.000443672,0.125962612,0.091739836,1.104790481,0.710059855,7.2831004570742919e-001,8.770780969
76,15:56:52:039,-5.40E-05,8.22541E-06,0.007056462,0.000333733,0.130999569,0.095446455,1.149697181,0.710665392,7.2860129471089330e-001,8.776343244
77,15:56:52:567,-7.81E-05,6.79743E-06,0.007265569,0.000383703,0.13428252,0.097901313,1.178653144,0.710949768,7.2906967638256404e-001,8.777413048
78,15:56:53:092,0.000118225,6.32143E-06,0.007452902,0.000392746,0.137938122,0.100550546,1.210221027,0.710992001,7.2895399634100144e-001,8.773651584
79,15:56:53:620,7.51113E-06,-8.60E-05,0.007654976,0.000504119,0.142298002,0.103603881,1.247974615,0.709635733,7.2807685166495151e-001,8.770148556
80,15:56:54:147,-6.92E-06,9.72406E-05,0.008048332,0.000322073,0.147417681,0.107392225,1.292693359,0.711343503,7.2848944888072986e-001,8.768916637
