Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
153,15:04:24:597,6.42042E-05,2.9303E-05,0.002637577,0.000365945,0.047847645,0.034886419,0.420088175,0.709324749,0.729114651,8.779704377
154,15:04:25:123,5.53394E-06,-4.28E-05,0.00339492,0.0003224,0.063744402,0.046505605,0.558983643,0.710493972,0.729563743,8.769140896
155,15:04:25:650,-6.35E-05,-0.000139192,0.003620981,0.000258395,0.068997857,0.050372849,0.605981633,0.710188399,0.730063958,8.782615232
156,15:04:26:176,-4.44E-05,5.90543E-05,0.003765166,0.000298606,0.06990543,0.051067968,0.614199798,0.711911985,0.730529338,8.786152861
157,15:04:26:703,-1.20E-05,-3.54E-06,0.003738884,0.000306458,0.068619616,0.050144927,0.60265559,0.71170244,0.730766651,8.782555503
158,15:04:27:230,9.79214E-06,4.31075E-05,0.003639447,0.000309313,0.067987748,0.049652793,0.597211282,0.71156054,0.730319721,8.78410156
159,15:04:27:756,-2.43E-05,3.92993E-05,0.003713314,0.000297892,0.070503957,0.051359504,0.61799093,0.710598773,0.728462712,8.765336824
160,15:04:28:282,-5.74E-05,0.000112609,0.00388285,0.000329301,0.072832965,0.052846573,0.63822958,0.708329086,0.7255859,8.762921798
161,15:04:28:809,-5.53E-05,4.81057E-05,0.003958866,0.000498972,0.07381046,0.053799686,0.648232536,0.709368621,0.728889726,8.782393953
162,15:04:29:337,-0.00012859,-6.64E-06,0.004027546,0.000371894,0.073223023,0.053348718,0.642799258,0.709461643,0.728578469,8.778649494
163,15:04:29:862,2.94274E-05,3.43012E-05,0.003814416,0.000311931,0.072245118,0.052757985,0.634718369,0.711444309,0.730263666,8.785622986
164,15:04:30:390,3.72344E-05,-3.59E-05,0.003839279,0.000197962,0.072317334,0.052589233,0.633795989,0.709406519,0.727200933,8.764095026
165,15:04:30:917,9.08244E-06,5.57221E-05,0.003869826,0.000247688,0.073284843,0.053415498,0.643699871,0.710707899,0.728875108,8.783533471
166,15:04:31:444,-9.81E-05,9.80895E-05,0.004020205,0.000368087,0.073815087,0.053752345,0.64790137,0.709991498,0.728202697,8.777357032
167,15:04:31:970,5.78165E-05,6.66708E-05,0.00402281,0.000329063,0.074006997,0.053870581,0.649501602,0.709723403,0.727911999,8.776218907
168,15:04:32:496,-2.12E-05,1.93067E-05,0.003960761,0.000259108,0.073687978,0.053722788,0.647090946,0.710630884,0.729057706,8.7814995
169,15:04:33:023,-8.36E-05,1.00246E-05,0.004047915,0.000327635,0.074149735,0.053942202,0.650772966,0.708863481,0.727476667,8.776470606
170,15:04:33:549,-9.62E-05,2.21628E-05,0.004022099,0.00037594,0.074859824,0.05456802,0.657009077,0.710139643,0.728935995,8.776524503
171,15:04:34:077,-6.54E-05,1.47847E-05,0.004020678,0.000191538,0.074903215,0.054520162,0.656782417,0.710352585,0.727874796,8.768414232
172,15:04:34:604,9.08244E-06,9.19009E-05,0.004040336,0.000380937,0.074249127,0.053990272,0.651500729,0.708969058,0.727150264,8.774523749
173,15:04:35:131,-6.45E-05,2.33528E-05,0.003904162,0.000263153,0.073166075,0.053398442,0.64315284,0.71102071,0.729825158,8.790314915
174,15:04:35:657,3.25029E-05,2.59709E-05,0.003931395,0.000227464,0.072824207,0.053003121,0.639067593,0.709879679,0.727822838,8.775483013
175,15:04:36:184,7.69796E-05,-7.35E-06,0.003939684,0.000260774,0.07311716,0.053219256,0.642143484,0.709201668,0.727862728,8.782390933
176,15:04:36:710,5.0608E-06,-6.26E-05,0.003879298,0.000312169,0.072891355,0.053096293,0.640156932,0.709046615,0.728430599,8.782343679
177,15:04:37:236,-8.67E-05,-6.92E-05,0.003893269,0.000297892,0.072096568,0.052617076,0.633647269,0.710130721,0.729813882,8.788868681
178,15:04:37:763,-7.11E-05,3.36054E-06,0.003806602,0.000262202,0.071270983,0.051899637,0.625462604,0.709839669,0.728201503,8.775838085
179,15:04:38:291,-4.84E-05,-3.64E-05,0.003749776,0.000292657,0.069742124,0.05073379,0.612080629,0.708557444,0.727448303,8.776340489
180,15:04:38:818,3.55783E-05,-3.38E-05,0.003763745,0.000447568,0.070623607,0.051478289,0.619854021,0.709143192,0.728910505,8.776867193
181,15:04:39:344,-7.71E-06,2.64654E-06,0.003781267,0.000324066,0.071250784,0.051847109,0.625509,0.708843779,0.727670709,8.778977083
182,15:04:39:871,2.69514E-06,-2.11E-06,0.003867221,0.000294561,0.072610628,0.052934448,0.637142462,0.710487812,0.729017905,8.774782382
183,15:04:40:398,-3.80E-07,-0.000106352,0.003926659,0.000304554,0.073109373,0.053361449,0.641875122,0.71028611,0.729885201,8.779655693
184,15:04:40:924,-0.000119365,8.64264E-05,0.003938263,0.000335487,0.073602518,0.053584869,0.64511915,0.710413243,0.728030372,8.764905983
185,15:04:41:450,-3.75E-05,-5.59E-05,0.004005047,0.000370229,0.074183595,0.053956382,0.650164811,0.708498325,0.727335771,8.764266671
186,15:04:41:977,-1.24E-05,-2.69E-05,0.003941105,0.000349765,0.074460856,0.054204936,0.65417896,0.708579241,0.727965522,8.785541803
