Cycle,Time,82Kr,83Kr,84Sr,85Rb,86Sr,87Sr,88Sr,87Sr/86Sr (5),87Sr/86Sr (8),88Sr/86Sr (9)
84,16:19:53:250,-1.27E-05,-2.95E-05,0.003070767,0.000194892,0.05745105,0.041773756,0.503069709,0.709370626,7.2711910154934312e-001,8.7564928114705260e+000
85,16:19:53:778,-6.50E-05,1.31345E-05,0.004639821,0.000279357,0.085932759,0.062603613,0.754235021,0.710329568,7.2851859753307768e-001,8.7770371714226965e+000
86,16:19:54:305,2.27517E-05,4.32859E-06,0.005334575,0.000361925,0.101313582,0.073756678,0.888270272,0.710025954,7.2800385078479912e-001,8.7675339963197878e+000
87,16:19:54:831,4.56985E-05,-2.80E-05,0.005596389,0.000371443,0.105167254,0.076906343,0.925656569,0.711660141,7.3127651737533050e-001,8.8017566163745631e+000
88,16:19:55:358,-0.000119885,3.78868E-05,0.005766463,0.000326946,0.107328481,0.078138835,0.940466679,0.710645619,7.2803448566399065e-001,8.7625080905043600e+000
89,16:19:55:884,-9.89E-06,3.8526E-06,0.006093171,0.000336702,0.114059989,0.083051366,1.000717752,0.710147986,7.2813759194780014e-001,8.7736090406160105e+000
90,16:19:56:411,4.19134E-05,-1.15E-06,0.006736312,0.000459254,0.125741256,0.091611542,1.103009411,0.710334776,7.2857186686076114e-001,8.7720565411154947e+000
91,16:19:56:937,-7.87E-05,-8.29E-06,0.006893931,0.000467346,0.128291313,0.093482889,1.126680022,0.709994374,7.2867668509857630e-001,8.7822003950934580e+000
92,16:19:57:465,-7.99E-05,6.28776E-05,0.006775181,0.000384293,0.125666627,0.091661738,1.104587042,0.710946443,7.2940397685143343e-001,8.7898200669739150e+000
93,16:19:57:992,-4.44E-05,5.28812E-05,0.006901754,0.000360973,0.128693261,0.09373585,1.130145582,0.710313765,7.2836642164131060e-001,8.7816998047487562e+000
94,16:19:58:518,1.18699E-05,-5.23E-05,0.007011273,0.000482339,0.131813827,0.096079366,1.159048573,0.709574877,7.2890202916432889e-001,8.7930727602979761e+000
