Sample ID,d13C,d18O,dist
M640-001,-13.0,-12.6,8834
M640-003,-13.3,-12.0,9213
M640-005,-13.9,-12.0,9627
M640-007,-14.0,-12.0,10026
M640-009,-13.8,-11.5,10414
M640-011,-13.9,-12.3,10812
M640-013,-14.5,-13.2,11201
M640-015,-14.5,-13.1,11548
M640-017,-14.7,-12.9,11941
M640-019,-14.8,-14.1,12359
M640-021,-14.3,-13.7,12761
M640-023,-14.0,-14.0,13319
M640-025,-13.4,-13.3,13696
M640-027,-13.8,-14.1,14104
M640-029,-13.8,-14.0,14497
M640-031,-13.8,-13.7,14869
M640-032,-13.2,-13.0,14990
M640-033,-12.9,-12.9,15088
M640-034,-12.9,-13.3,15197
M640-035,-13.2,-13.2,15295
M640-036,-13.3,-13.5,15383
M640-037,-13.2,-13.5,15487
M640-038,-13.2,-13.1,15591
M640-039,-13.1,-12.7,15695
M640-040,-13.2,-12.4,15799
M640-041,-13.1,-11.7,15902
M640-042,-12.9,-11.6,15990
M640-043,-12.9,-11.2,16152
M640-044,-13.0,-11.1,16303
M640-045,-12.7,-11.4,16407
M640-046,-13.0,-12.3,16501
M640-047,-13.0,-12.5,16600
M640-048,-12.8,-12.5,16699
M640-049,-12.8,-12.4,16803
M640-050,-12.8,-12.5,16881
M640-051,-13.1,-12.7,16980
M640-052,-12.9,-13.2,17079
M640-053,-12.8,-13.3,17188
M640-054,-12.7,-13.4,17261
M640-055,-12.4,-13.7,17366
M640-056,-12.7,-14.4,17470
M640-057,-12.3,-13.5,17559
M640-058,-12.3,-13.9,17663
M640-059,-12.7,-13.7,17752
M640-060,-12.6,-13.5,17867
M640-061,-11.2,-13.0,17945
M640-062,-8.9,-11.1,18055
M640-063,-6.0,-9.1,18139
M640-064,-5.0,-8.7,18259
M640-065,-5.6,-9.3,18348
M640-066,-4.9,-9.1,18442
M640-067,-5.7,-9.9,18536
M640-068,-5.8,-9.6,18656
M640-069,-6.5,-9.7,18755
M640-070,-7.2,-9.8,18844
M640-072,-7.9,-9.3,19047
M640-073,-8.3,-9.1,19146
M640-074,-8.5,-9.4,19229
M640-075,-8.4,-9.8,19323
M640-076,-8.2,-9.6,19422
M640-077,-8.0,-9.8,19490
M640-079,-8.6,-9.9,19611
M640-080,-8.0,-9.8,19700
M640-081,-7.5,-9.6,19799
M640-082,-7.6,-9.8,19893
M640-083,-8.3,-10.4,19987
M640-084,-8.4,-10.8,20065
M640-085,-8.4,-10.0,20190
M640-086,-7.7,-10.2,20295
M640-088,-7.7,-10.3,20494
M640-089,-8.0,-10.4,20588
M640-090,-8.2,-10.4,20698
M640-091,-5.9,-9.9,20792
M640-092,-5.8,-9.3,20880
M640-093,-6.0,-9.5,20982
M640-094,-7.9,-9.5,21092
M640-096,-12.5,-8.7,21264
M640-098,-9.3,-8.6,21462
M640-100,-12.3,-9.1,21660
M640-102,-12.7,-9.1,21854
M640-105,-12.2,-9.2,22172
M640-106,-12.2,-8.5,22276
M640-108,-12.2,-8.8,22479
M640-110,-12.3,-9.2,22687
M640-115,-12.1,-8.2,23172
M640-120,-7.4,-7.7,23657
M640-125,-7.1,-8.6,24137
M640-130,-6.0,-10.0,24638
M640-135,-6.0,-10.7,25117
M640-140,-5.1,-9.2,25474
M640-145,-4.1,-9.4,25844
M640-150,-3.8,-7.9,26397
M640-155,-3.5,-7.7,26883
M640-160,-4.1,-7.6,27331
M640-165,-5.9,-7.8,28238
M640-170,-9.1,-8.0,29170
M640-175,-5.0,-9.0,30134
