Session,labID,Sample,SRM987 87Sr/86Sr,SRM987 StdDev,87Sr/86Sr,StdErr,SRM987 long-term,corr. 87Sr/86Sr,comb. Err,Dist. From cervix,Sample depth,d13C,d18O
145851,2122-100,C6-01,0.710295,0.000007,0.711159732,0.000005,0.710295,0.71116,0.000009,0,0.5,-12.1,-12.7
145851,2122-105,C6-02,0.710295,0.000007,0.711300733,0.000006,0.710295,0.7113,0.00001,5.8,0.8,-12.8,-14
145851,2122-110,C6-03,0.710295,0.000007,0.711308321,0.000006,0.710295,0.71131,0.000009,11.4,0.9,-12.3,-13.9
,,C6-04,,,,,,,,,,-12.5,-14.2
111821,2122-120,C6-05,0.710302,0.000009,0.711206563,0.000007,0.710295,0.7112,0.000011,20.3,0.9,-12.3,-13.8
,,C6-06,,,,,,,,,,-12.1,-14
111821,2122-130,C6-07,0.710302,0.000009,0.710924799,0.000006,0.710295,0.71092,0.000011,31.3,0.8,-12.6,-15
111821,2122-132,C6-08,0.710302,0.000009,0.710918523,0.000006,0.710295,0.71091,0.000011,33,0.8,-12.6,-14.5
111821,2122-134,C6-09,0.710302,0.000009,0.710928808,0.000005,0.710295,0.71092,0.00001,35,0.8,-12.5,-14.9
111821,2122-136,C6-10,0.710302,0.000009,0.710714069,0.000007,0.710295,0.71071,0.000011,37.5,0.8,-12.6,-14.2
111821,2122-138,C6-11,0.710302,0.000009,0.710671552,0.000005,0.710295,0.71066,0.00001,39.1,0.7,-12.7,-14.1
145851,2122-140,C6-12,0.710295,0.000007,0.710653902,0.000007,0.710295,0.71065,0.00001,40.8,0.8,-12.5,-14
111821,2122-142,C6-13,0.710302,0.000009,0.710657083,0.000006,0.710295,0.71065,0.000011,42.6,0.8,-12.7,-13.9
111821,2122-144,C6-14,0.710302,0.000009,0.710391123,0.000006,0.710295,0.71038,0.000011,44.7,0.9,-12.8,-13.7
111821,2122-146,C6-15,0.710302,0.000009,0.710122256,0.000007,0.710295,0.71012,0.000011,46.9,1,-13.2,-14.7
145851,2122-148,C6-16,0.710295,0.000007,0.710140543,0.000005,0.710295,0.71014,0.000009,49.1,0.9,-12.9,-14.6
111821,2122-150,C6-17,0.710302,0.000009,0.710075354,0.000006,0.710295,0.71007,0.000011,51.2,0.9,-13,-14.8
145851,2122-152,C6-18,0.710295,0.000007,0.70998798,0.000007,0.710295,0.70999,0.00001,52.8,0.9,-13.3,-15.2
161108,2122-154,C6-19,0.710298,0.00001,0.709922729,0.000007,0.710295,0.70992,0.000012,54.6,0.8,-13.1,-15
111821,2122-156,C6-20,0.710302,0.000009,0.709777582,0.000006,0.710295,0.70977,0.000011,56.5,0.8,-13.1,-15
111821,2122-158,C6-21,0.710302,0.000009,0.709703878,0.000007,0.710295,0.7097,0.000011,58.5,0.9,-12.9,-14.7
145851,2122-160,C6-22,0.710295,0.000007,0.709609955,0.000006,0.710295,0.70961,0.00001,60.2,0.9,-12.4,-13.9
111821,2122-162,C6-23,0.710302,0.000009,0.709459918,0.000006,0.710295,0.70945,0.000011,62.3,0.9,-12.5,-14.1
145851,2122-164,C6-24,0.710295,0.000007,0.709681399,0.000006,0.710295,0.70968,0.00001,64.5,0.8,-12.8,-14
154311,2122-166,C6-25,0.710285,0.000009,0.709599862,0.000005,0.710295,0.70961,0.000011,66.3,0.6,-13,-14
154311,2122-168,C6-26,0.710285,0.000009,0.709273818,0.000006,0.710295,0.70928,0.000011,68.1,0.8,-12.3,-14.5
154311,2122-170,C6-27,0.710285,0.000009,0.70860081,0.000012,0.710295,0.70861,0.000015,70.5,0.7,-10,-12.1
154311,2122-172,C6-28,0.710285,0.000009,0.707584165,0.000006,0.710295,0.70759,0.000011,72.2,0.7,-9,-11.3
145851,2122-174,C6-29,0.710295,0.000007,0.707341953,0.000006,0.710295,0.70734,0.00001,74.6,1.4,-9.6,-10.8
145851,2122-176,C6-30,0.710295,0.000007,0.707372636,0.000005,0.710295,0.70737,0.000009,76.6,1,-10,-11
145851,2122-178,C6-31,0.710295,0.000007,0.707407842,0.000006,0.710295,0.70741,0.00001,79,0.9,-9.9,-10.9
154311,2122-180,C6-32,0.710285,0.000009,0.708225421,0.000006,0.710295,0.70824,0.000011,80.5,1,-10.6,-10.4
145851,2122-182,C6-33,0.710295,0.000007,0.707735494,0.000006,0.710295,0.70774,0.00001,82.3,1,-11.4,-11.2
154311,2122-184,C6-34,0.710285,0.000009,0.707909312,0.000005,0.710295,0.70792,0.00001,84.4,0.9,-10.9,-10.1
154311,2122-186,C6-35,0.710285,0.000009,0.707765263,0.000006,0.710295,0.70778,0.000011,86.7,0.9,-11,-10.3
154311,2122-188,C6-36,0.710285,0.000009,0.707599824,0.000005,0.710295,0.70761,0.00001,88.5,0.9,-10.9,-10.1
154311,2122-190,C6-37,0.710285,0.000009,0.707481558,0.000009,0.710295,0.70749,0.000012,90.3,0.9,-10.2,-10.1
154311,2122-192,C6-38,0.710285,0.000009,0.707531738,0.000008,0.710295,0.70754,0.000012,91.9,1.1,-11.1,-10.5
145851,2122-194,C6-39,0.710295,0.000007,0.70791603,0.000007,0.710295,0.70792,0.00001,94,1,-12,-11.1
154311,2122-196,C6-40,0.710285,0.000009,0.707706397,0.000013,0.710295,0.70772,0.000016,96.2,1,-11.6,-10.5
145851,2122-198,C6-41,0.710295,0.000007,0.707602984,0.000008,0.710295,0.7076,0.000011,98.1,1,-10.1,-10.1
111821,2122-200,C6-42,0.710302,0.000009,0.70737883,0.000006,0.710295,0.70737,0.000011,100,1.3,-6.9,-9.8
