sample,87Sr/86Sr,Date,calculate date,calculated 87Sr/86Sr input,days
Misha ivory,0.70691,4/22/2004,-365,0.70668,0
Misha ivory,0.70675,5/29/2004,-327.7891156,0.70687,37.21088435
Misha ivory,0.70693,7/5/2004,-290.5782313,0.70724,74.42176871
Misha ivory,0.70711,8/11/2004,-253.3673469,0.70749,111.6326531
Misha ivory,0.70705,9/17/2004,-216.1564626,0.70714,148.8435374
Misha ivory,0.70656,10/25/2004,-178.9455782,0.70596,186.0544218
Misha ivory,0.70647,12/1/2004,-141.7346939,0.70638,223.2653061
Misha ivory,0.70643,1/7/2005,-104.5238095,0.7061,260.4761905
Misha ivory,0.70632,2/13/2005,-67.31292517,0.706,297.6870748
Misha ivory,0.70629,3/22/2005,-30.10204082,0.70603,334.8979592
Misha ivory,0.70653,4/29/2005,7.108843537,0.70672,372.1088435
Misha ivory,0.70894,7/12/2005,81.53061224,0.71107,446.5306122
Misha ivory,0.70977,8/18/2005,118.7414966,0.71217,483.7414966
Misha ivory,0.70949,9/24/2005,155.952381,0.71042,520.952381
Misha ivory,0.70948,11/1/2005,193.1632653,0.71102,558.1632653
Misha ivory,0.70965,12/8/2005,230.3741497,0.71089,595.3741497
Misha ivory,0.70979,1/14/2006,267.585034,0.71108,632.585034
Misha ivory,0.70971,2/20/2006,304.7959184,0.71052,669.7959184
Misha ivory,0.7102,3/30/2006,342.0068027,0.71194,707.0068027
Misha ivory,0.71013,5/6/2006,379.2176871,0.71075,744.2176871
Misha ivory,0.70987,6/12/2006,416.4285714,0.71048,781.4285714
Misha ivory,0.71025,7/19/2006,453.6394558,0.71151,818.6394558
Misha ivory,0.7105,8/25/2006,490.8503401,0.71145,855.8503401
Misha ivory,0.7106,10/2/2006,528.0612245,0.71156,893.0612245
Misha ivory,0.71095,11/8/2006,565.2721088,0.71226,930.2721088
Misha ivory,0.71117,12/15/2006,602.4829932,0.71227,967.4829932
Misha ivory,0.71112,1/21/2007,639.6938776,0.71191,1004.693878
Misha ivory,0.71078,2/27/2007,676.9047619,0.711,1041.904762
Misha ivory,0.71071,4/6/2007,714.1156463,0.71119,1079.115646
Misha ivory,0.71074,5/13/2007,751.3265306,0.71109,1116.326531
Misha ivory,0.71099,6/19/2007,788.537415,0.71174,1153.537415
Misha ivory,0.71131,7/26/2007,825.7482993,0.71215,1190.748299
Misha ivory,0.71108,9/1/2007,862.9591837,0.71117,1227.959184
Misha ivory,0.71151,10/9/2007,900.170068,0.71277,1265.170068
Misha ivory,0.71193,11/15/2007,937.3809524,0.71291,1302.380952
Misha ivory,0.71199,12/22/2007,974.5918367,0.71281,1339.591837
Misha ivory,0.71162,1/28/2008,1011.802721,0.71169,1376.802721
Misha ivory,0.71115,3/6/2008,1049.013605,0.71093,1414.013605
Misha ivory,0.71069,4/12/2008,1086.22449,0.71009,1451.22449
Misha ivory,0.71074,6/7/2008,1142.040816,0.71064,1507.040816
