id,Time,x,y,z
PositionLog0, 15:00:27.857,36736,68696,20770
PositionLog1, 15:00:30.537,36740,68763,20770
PositionLog2, 15:00:33.519,36744,68839,20770
PositionLog3, 15:00:36.753,36748,68905,20770
PositionLog4, 15:00:39.620,36752,68983,20770
PositionLog5, 15:00:42.504,36757,69060,20770
PositionLog6, 15:00:45.615,36760,69130,20770
PositionLog7, 15:00:47.726,36764,69189,20770
PositionLog8, 15:00:50.843,36767,69254,20770
PositionLog9, 15:00:53.675,36772,69331,20770
PositionLog10, 15:00:56.732,36777,69413,20770
PositionLog11, 15:00:58.906,36779,69456,20770
PositionLog12, 15:01:01.735,36784,69535,20770
PositionLog13, 15:01:04.658,36788,69603,20770
PositionLog14, 15:01:06.804,36791,69657,20770
PositionLog15, 15:01:08.936,36794,69697,20770
PositionLog16, 15:01:11.779,36800,69775,20770
PositionLog17, 15:01:13.780,36803,69816,20770
PositionLog18, 15:01:16.671,36809,69890,20770
PositionLog19, 15:01:18.755,36813,69936,20770
PositionLog20, 15:01:20.765,36818,69992,20770
PositionLog21, 15:01:22.778,36821,70036,20770
PositionLog22, 15:01:24.828,36826,70091,20770
PositionLog23, 15:01:26.971,36829,70138,20770
PositionLog24, 15:01:30.048,36835,70215,20770
PositionLog25, 15:01:32.871,36839,70278,20770
PositionLog26, 15:01:34.883,36841,70331,20770
PositionLog27, 15:01:36.960,36842,70372,20770
PositionLog28, 15:01:39.895,36844,70449,20770
PositionLog29, 15:01:42.106,36845,70491,20770
PositionLog30, 15:01:44.931,36846,70568,20770
PositionLog31, 15:01:47.126,36846,70609,20770
PositionLog32, 15:01:50.115,36845,70693,20770
PositionLog33, 15:01:52.952,36844,70756,20770
PositionLog34, 15:01:55.155,36843,70807,20770
PositionLog35, 15:01:58.018,36842,70886,20770
PositionLog36, 15:02:01.009,36840,70953,20770
PositionLog37, 15:02:04.237,36838,71038,20770
PositionLog38, 15:02:07.059,36836,71108,20770
PositionLog39, 15:02:10.069,36834,71176,20770
PositionLog40, 15:02:12.274,36832,71235,20770
PositionLog41, 15:02:15.075,36830,71297,20770
PositionLog42, 15:02:17.148,36827,71353,20770
PositionLog43, 15:02:20.311,36822,71421,20770
PositionLog44, 15:02:23.140,36816,71497,20770
PositionLog45, 15:02:26.223,36809,71577,20770
PositionLog46, 15:02:28.339,36806,71620,20770
PositionLog47, 15:02:31.182,36799,71700,20770
PositionLog48, 15:02:33.449,36794,71747,20770
PositionLog49, 15:02:36.453,36787,71829,20770
PositionLog50, 15:02:39.232,36782,71890,20770
PositionLog51, 15:02:41.451,36777,71953,20770
PositionLog52, 15:02:44.297,36772,72020,20770
PositionLog53, 15:02:46.425,36769,72072,20770
PositionLog54, 15:02:49.535,36764,72146,20770
PositionLog55, 15:02:52.246,36760,72207,20770
PositionLog56, 15:02:54.459,36757,72266,20770
PositionLog57, 15:02:57.313,36753,72330,20770
PositionLog58, 15:03:00.335,36748,72408,20770
PositionLog59, 15:03:02.452,36745,72451,20770
PositionLog60, 15:03:05.301,36740,72531,20770
PositionLog61, 15:03:08.294,36736,72598,20770
PositionLog62, 15:03:10.303,36731,72651,20770
PositionLog63, 15:03:12.312,36728,72697,20770
PositionLog64, 15:03:14.363,36723,72751,20770
PositionLog65, 15:03:16.365,36719,72794,20770
PositionLog66, 15:03:19.541,36711,72875,20770
PositionLog67, 15:03:22.371,36703,72936,20770
PositionLog68, 15:03:25.409,36691,73016,20770
PositionLog69, 15:03:27.599,36685,73059,20770
PositionLog70, 15:03:30.403,36673,73132,20770
PositionLog71, 15:03:32.706,36663,73191,20770
PositionLog72, 15:03:35.464,36652,73253,20770
PositionLog73, 15:03:37.503,36643,73307,20770
PositionLog74, 15:03:40.683,36631,73373,20770
PositionLog75, 15:03:43.616,36617,73452,20770
PositionLog76, 15:03:46.547,36605,73516,20770
PositionLog77, 15:03:48.752,36595,73569,20770
