id,Time,x,y,z
PositionLog0, 17:49:51.501,35970,70352,20733
PositionLog1, 17:49:54.070,35967,70296,20733
PositionLog2, 17:49:56.070,35965,70242,20733
PositionLog3, 17:49:58.091,35963,70197,20733
PositionLog4, 17:50:01.081,35959,70121,20733
PositionLog5, 17:50:03.134,35957,70074,20733
PositionLog6, 17:50:06.316,35953,69997,20733
PositionLog7, 17:50:09.136,35949,69921,20733
PositionLog8, 17:50:11.512,35947,69874,20733
PositionLog9, 17:50:14.202,35943,69797,20733
PositionLog10, 17:50:17.200,35939,69727,20733
PositionLog11, 17:50:19.445,35936,69674,20733
PositionLog12, 17:50:22.231,35931,69604,20733
PositionLog13, 17:50:24.262,35928,69552,20733
PositionLog14, 17:50:27.313,35923,69476,20733
PositionLog15, 17:50:30.314,35918,69407,20733
PositionLog16, 17:50:32.544,35913,69357,20733
PositionLog17, 17:50:35.256,35906,69284,20733
PositionLog18, 17:50:37.541,35900,69234,20733
PositionLog19, 17:50:40.387,35892,69160,20733
PositionLog20, 17:50:42.402,35886,69113,20733
PositionLog21, 17:50:44.412,35881,69069,20733
PositionLog22, 17:50:46.423,35874,69015,20733
PositionLog23, 17:50:48.445,35868,68968,20733
PositionLog24, 17:50:50.463,35861,68914,20733
PositionLog25, 17:50:52.469,35855,68866,20733
PositionLog26, 17:50:54.471,35849,68823,20733
PositionLog27, 17:50:56.477,35843,68769,20733
PositionLog28, 17:50:58.497,35837,68724,20733
PositionLog29, 17:51:00.503,35830,68670,20733
PositionLog30, 17:51:02.646,35825,68627,20733
PositionLog31, 17:51:05.707,35816,68550,20733
PositionLog32, 17:51:08.545,35808,68484,20733
PositionLog33, 17:51:10.589,35802,68431,20733
PositionLog34, 17:51:12.746,35798,68386,20733
PositionLog35, 17:51:14.809,35792,68332,20733
PositionLog36, 17:51:17.592,35788,68267,20733
PositionLog37, 17:51:19.649,35788,68214,20733
PositionLog38, 17:51:23.002,35791,68148,20733
PositionLog39, 17:51:25.582,35796,68074,20733
PositionLog40, 17:51:27.804,35800,68024,20733
