id,Time,x,y,z
PositionLog0, 15:56:40.553,34832,46871,20613
PositionLog1, 15:56:43.277,34833,46800,20613
PositionLog2, 15:56:46.545,34833,46720,20613
PositionLog3, 15:56:49.272,34833,46654,20613
PositionLog4, 15:56:52.286,34834,46578,20613
PositionLog5, 15:56:54.386,34834,46527,20613
PositionLog6, 15:56:57.254,34834,46454,20613
PositionLog7, 15:56:59.346,34834,46407,20613
PositionLog8, 15:57:02.461,34835,46324,20613
PositionLog9, 15:57:05.323,34835,46253,20613
PositionLog10, 15:57:07.328,34835,46206,20613
PositionLog11, 15:57:10.519,34836,46123,20613
PositionLog12, 15:57:13.385,34836,46060,20613
PositionLog13, 15:57:15.420,34836,46004,20613
PositionLog14, 15:57:17.460,34837,45958,20613
PositionLog15, 15:57:20.389,34837,45879,20613
PositionLog16, 15:57:22.536,34838,45834,20613
PositionLog17, 15:57:25.435,34839,45754,20613
PositionLog18, 15:57:27.450,34839,45703,20613
PositionLog19, 15:57:29.489,34840,45655,20613
PositionLog20, 15:57:32.501,34841,45578,20613
PositionLog21, 15:57:34.618,34842,45526,20613
PositionLog22, 15:57:37.533,34843,45455,20613
PositionLog23, 15:57:39.560,34845,45407,20613
PositionLog24, 15:57:42.709,34847,45327,20613
PositionLog25, 15:57:45.680,34848,45260,20613
PositionLog26, 15:57:47.729,34850,45202,20613
PositionLog27, 15:57:50.561,34852,45139,20613
PositionLog28, 15:57:52.670,34854,45081,20613
PositionLog29, 15:57:55.578,34856,45015,20613
PositionLog30, 15:57:57.816,34858,44953,20613
PositionLog31, 15:58:00.798,34860,44891,20613
PositionLog32, 15:58:03.676,34863,44810,20613
PositionLog33, 15:58:06.667,34866,44733,20613
PositionLog34, 15:58:10.046,34869,44667,20613
PositionLog35, 15:58:12.756,34873,44590,20613
PositionLog36, 15:58:14.771,34876,44533,20613
PositionLog37, 15:58:16.833,34879,44485,20613
PositionLog38, 15:58:19.807,34884,44408,20613
PositionLog39, 15:58:22.045,34887,44366,20613
PositionLog40, 15:58:24.985,34900,44288,20613
PositionLog41, 15:58:27.775,34912,44222,20613
PositionLog42, 15:58:30.994,34927,44146,20613
PositionLog43, 15:58:33.838,34941,44067,20613
PositionLog44, 15:58:35.839,34949,44023,20613
PositionLog45, 15:58:38.782,34958,43948,20613
PositionLog46, 15:58:40.857,34961,43902,20613
PositionLog47, 15:58:42.894,34964,43846,20613
PositionLog48, 15:58:44.897,34966,43803,20613
PositionLog49, 15:58:46.908,34969,43756,20613
PositionLog50, 15:58:49.143,34971,43702,20613
PositionLog51, 15:58:51.958,34975,43622,20613
PositionLog52, 15:58:53.967,34976,43578,20613
PositionLog53, 15:58:56.971,34978,43499,20613
PositionLog54, 15:58:58.998,34980,43453,20613
PositionLog55, 15:59:01.014,34981,43397,20613
PositionLog56, 15:59:03.022,34982,43352,20613
PositionLog57, 15:59:05.038,34982,43302,20613
PositionLog58, 15:59:07.062,34982,43247,20613
PositionLog59, 15:59:09.943,34981,43180,20613
PositionLog60, 15:59:12.073,34980,43129,20613
PositionLog61, 15:59:14.095,34977,43081,20613
PositionLog62, 15:59:16.099,34973,43026,20613
PositionLog63, 15:59:18.952,34963,42961,20613
PositionLog64, 15:59:21.127,34955,42908,20613
PositionLog65, 15:59:23.133,34946,42862,20613
PositionLog66, 15:59:25.212,34938,42817,20613
PositionLog67, 15:59:28.298,34922,42741,20613
PositionLog68, 15:59:31.122,34907,42665,20613
PositionLog69, 15:59:34.138,34893,42595,20613
PositionLog70, 15:59:37.352,34878,42520,20613
PositionLog71, 15:59:40.225,34865,42444,20613
PositionLog72, 15:59:42.231,34857,42398,20613
PositionLog73, 15:59:45.432,34844,42322,20613
PositionLog74, 15:59:48.123,34833,42254,20613
PositionLog75, 15:59:50.478,34825,42200,20613
PositionLog76, 15:59:53.310,34813,42124,20613
PositionLog77, 15:59:55.337,34807,42078,20613
PositionLog78, 15:59:58.516,34797,42001,20613
PositionLog79, 16:00:01.368,34792,41932,20613
PositionLog80, 16:00:04.377,34799,41855,20613
PositionLog81, 16:00:06.577,34813,41807,20613
PositionLog82, 16:00:09.388,34835,41740,20613
PositionLog83, 16:00:11.393,34848,41696,20613
PositionLog84, 16:00:14.437,34873,41621,20613
PositionLog85, 16:00:16.501,34890,41570,20613
PositionLog86, 16:00:19.653,34913,41505,20613
PositionLog87, 16:00:22.302,34936,41433,20613
