id,Time,x,y,z
PositionLog0, 16:19:47.456,34532,46862,20613
PositionLog1, 16:19:50.254,34533,46792,20613
PositionLog2, 16:19:52.397,34533,46747,20613
PositionLog3, 16:19:55.301,34533,46670,20613
PositionLog4, 16:19:57.318,34533,46624,20613
PositionLog5, 16:19:59.338,34534,46569,20613
PositionLog6, 16:20:01.352,34534,46523,20613
PositionLog7, 16:20:03.356,34534,46468,20613
PositionLog8, 16:20:05.359,34534,46421,20613
PositionLog9, 16:20:07.413,34535,46366,20613
PositionLog10, 16:20:09.418,34535,46320,20613
PositionLog11, 16:20:12.409,34535,46243,20613
PositionLog12, 16:20:15.412,34535,46172,20613
PositionLog13, 16:20:17.431,34536,46118,20613
PositionLog14, 16:20:19.450,34536,46071,20613
PositionLog15, 16:20:21.468,34536,46017,20613
PositionLog16, 16:20:24.483,34537,45946,20613
PositionLog17, 16:20:26.491,34537,45893,20613
PositionLog18, 16:20:28.504,34538,45845,20613
PositionLog19, 16:20:30.514,34538,45791,20613
PositionLog20, 16:20:32.529,34539,45743,20613
PositionLog21, 16:20:34.545,34539,45699,20613
PositionLog22, 16:20:36.655,34540,45641,20613
PositionLog23, 16:20:39.579,34541,45567,20613
PositionLog24, 16:20:42.749,34542,45498,20613
PositionLog25, 16:20:45.627,34544,45421,20613
PositionLog26, 16:20:47.645,34545,45373,20613
PositionLog27, 16:20:49.672,34547,45321,20613
PositionLog28, 16:20:52.831,34548,45251,20613
PositionLog29, 16:20:55.684,34551,45173,20613
PositionLog30, 16:20:57.700,34552,45120,20613
PositionLog31, 16:20:59.733,34554,45072,20613
PositionLog32, 16:21:01.753,34555,45019,20613
PositionLog33, 16:21:03.762,34557,44972,20613
PositionLog34, 16:21:05.813,34559,44926,20613
PositionLog35, 16:21:08.802,34561,44848,20613
PositionLog36, 16:21:11.839,34564,44771,20613
PositionLog37, 16:21:13.841,34566,44725,20613
PositionLog38, 16:21:15.871,34569,44670,20613
PositionLog39, 16:21:18.855,34572,44601,20613
PositionLog40, 16:21:20.898,34575,44546,20613
PositionLog41, 16:21:23.870,34579,44475,20613
PositionLog42, 16:21:25.875,34582,44423,20613
PositionLog43, 16:21:27.895,34585,44377,20613
PositionLog44, 16:21:29.932,34592,44324,20613
PositionLog45, 16:21:31.938,34600,44277,20613
PositionLog46, 16:21:33.942,34608,44232,20613
PositionLog47, 16:21:35.961,34618,44179,20613
PositionLog48, 16:21:37.998,34627,44133,20613
PositionLog49, 16:21:40.006,34637,44080,20613
PositionLog50, 16:21:42.019,34646,44030,20613
PositionLog51, 16:21:44.046,34653,43981,20613
PositionLog52, 16:21:47.043,34660,43911,20613
PositionLog53, 16:21:49.073,34663,43858,20613
PositionLog54, 16:21:52.093,34667,43789,20613
PositionLog55, 16:21:54.117,34669,43735,20613
PositionLog56, 16:21:56.120,34671,43689,20613
PositionLog57, 16:21:58.138,34674,43634,20613
PositionLog58, 16:22:00.170,34675,43587,20613
PositionLog59, 16:22:02.212,34677,43533,20613
PositionLog60, 16:22:04.296,34678,43482,20613
PositionLog61, 16:22:07.248,34680,43408,20613
PositionLog62, 16:22:09.263,34681,43361,20613
PositionLog63, 16:22:11.288,34682,43307,20613
PositionLog64, 16:22:14.315,34682,43237,20613
PositionLog65, 16:22:16.320,34681,43183,20613
PositionLog66, 16:22:18.326,34680,43137,20613
PositionLog67, 16:22:20.357,34678,43084,20613
PositionLog68, 16:22:22.374,34675,43038,20613
PositionLog69, 16:22:24.376,34670,42991,20613
PositionLog70, 16:22:26.387,34662,42939,20613
PositionLog71, 16:22:28.417,34654,42891,20613
PositionLog72, 16:22:30.435,34644,42840,20613
PositionLog73, 16:22:32.457,34635,42793,20613
PositionLog74, 16:22:34.488,34624,42740,20613
PositionLog75, 16:22:37.459,34611,42673,20613
PositionLog76, 16:22:39.487,34600,42620,20613
PositionLog77, 16:22:41.526,34591,42575,20613
PositionLog78, 16:22:43.544,34580,42522,20613
PositionLog79, 16:22:45.570,34571,42473,20613
PositionLog80, 16:22:47.577,34563,42422,20613
PositionLog81, 16:22:49.583,34555,42375,20613
PositionLog82, 16:22:51.718,34547,42330,20613
PositionLog83, 16:22:54.757,34535,42255,20613
PositionLog84, 16:22:57.827,34523,42179,20613
PositionLog85, 16:23:00.679,34512,42110,20613
PositionLog86, 16:23:02.710,34505,42056,20613
PositionLog87, 16:23:04.774,34499,42010,20613
PositionLog88, 16:23:06.775,34494,41956,20613
PositionLog89, 16:23:09.711,34491,41887,20613
PositionLog90, 16:23:11.732,34502,41835,20613
PositionLog91, 16:23:13.747,34515,41791,20613
PositionLog92, 16:23:15.766,34532,41740,20613
PositionLog93, 16:23:18.759,34552,41674,20613
PositionLog94, 16:23:20.843,34570,41622,20613
PositionLog95, 16:23:23.788,34592,41556,20613
PositionLog96, 16:23:25.803,34608,41507,20613
PositionLog97, 16:23:28.806,34631,41439,20613
PositionLog98, 16:23:30.830,34645,41390,20613
