"","log.a","log.b","log.c"
"1",-3.94488401229548,-4.05420326171921,-5.49960600933991
"2",-4.11929185624547,-4.15452937102374,-5.0177782767279
"3",-3.87937044554905,-3.92867656826411,-5.26204878916991
"4",-4.0229101560562,-4.34029160022358,-5.62039599432848
"5",-4.01483389902973,-4.04836962212344,-5.3298651274997
"6",-4.25667306212293,-4.37005751861535,-5.21244787527113
"7",-3.90090909223212,-3.9508272022231,-5.59597897922409
"8",-3.86507092001541,-3.89017630055273,-5.54552000433608
"9",-4.45579296743221,-4.6591952325578,-5.70295781093216
"10",-4.17482409083786,-4.51029436553095,-6.01892874183806
"11",-3.99758382436103,-4.01921919895239,-5.57709279930635
"12",-4.00285938193475,-4.00464641618061,-5.77709559826364
"13",-4.39138447631072,-4.50295889882231,-5.73535436200722
"14",-4.05582642905938,-4.40664564870569,-5.48511632073806
"15",-4.08167264196924,-4.27721674777983,-5.76219740330586
"16",-3.99775717753902,-4.17005346036101,-5.57330207885698
"17",-4.28567886275682,-4.58556570907998,-5.70166779432285
"18",-4.12910399807927,-4.3136607411869,-5.57196669379247
"19",-4.01400862621297,-4.07819706246408,-5.82219585486488
"20",-4.29288141237287,-4.39345216842529,-5.44198851719442
"21",-3.99304289843537,-4.1558061661116,-5.6550946951893
"22",-3.75521565324972,-3.76014111289739,-5.60118441220861
"23",-3.68638858483072,-3.77366840471373,-5.02010829312821
"24",-4.25658017787167,-4.38833783672576,-6.13077681976669
"25",-4.54103752461086,-4.54111075191976,-5.68377134945102
"26",-3.91102421088319,-4.12598878668512,-5.37738342716051
"27",-4.38854732050956,-4.60726498925683,-5.81408760609758
"28",-4.17726611735158,-4.19434175222368,-5.71173108527085
"29",-4.06694026054376,-4.16088361343424,-5.52550163220294
"30",-3.40580968200306,-3.41561850093887,-5.52582032740626
"31",-4.13758319054853,-4.25648975083291,-5.62924488582702
"32",-3.90989046696908,-4.09400124624985,-5.67242002464859
"33",-4.3153628462458,-4.59705809662505,-5.96530625831022
"34",-4.13257830190536,-4.42163378435041,-5.53757355185998
"35",-4.24949613707215,-4.63166829578248,-5.64344433939349
"36",-4.33982684902351,-4.43775889416811,-5.3511618484777
